sample,interpreted_bed,cruise,core,location,corrams_agebp,corrams_Error,calib502_agebp,calib502_2sigma_pos,calib502_2sigma_neg,calib502_maxbp,calib502_minbp,mindepth_cm,maxdepth_cm,in_sequence,calib810_agebp,calib810_2sigma_pos,calib810_2sigma_neg,calib810_maxbp,calib810_minbp
129-129B,T05,M9907,25PC,Cascadia,3940,25,3426,110,83,3343,3536,244.9581034,246.9581034,FALSE,3441,172,163,3613,3278
130,T06,M9907,25PC,Cascadia,3550,40,2940,153,143,2797,3093,310.0099561,312.0099561,TRUE,2962,191,189,3153,2773
131,T08,M9907,25PC,Cascadia,4280,50,3852,165,172,3680,4017,428.7522221,430.7522221,TRUE,3872,214,220,4086,3652
132,T09,M9907,25PC,Cascadia,4860,60,4648,167,178,4470,4815,475.9640136,477.9640136,TRUE,4638,198,224,4836,4414
133,T10,M9907,25PC,Cascadia,5370,45,5326,139,141,5185,5465,508.4739063,510.4739063,TRUE,5282,185,232,5467,5050
134,T12,M9907,25PC,Cascadia,6865,40,6965,164,127,6838,7129,616.2696179,618.2696179,TRUE,6906,216,185,7122,6721
135-135B,T13,M9907,25PC,Cascadia,7225,40,7349,80,98,7251,7429,639.0138751,641.0138751,TRUE,7294,156,158,7450,7136
136,T14,M9907,25PC,Cascadia,8035,40,8094,106,121,7973,8200,662.832558,664.832558,TRUE,8070,180,158,8250,7912
137-137B,T15,M9907,25PC,Cascadia,8435,35,8491,97,99,8392,8588,685.8214706,687.8214706,TRUE,8490,179,157,8669,8333
510.9739063,T17,M9907,25PC,Cascadia,9055,40,9336,116,137,9199,9452,740.2458502,742.2458502,TRUE,9309,161,196,9470,9113
139,T18,M9907,25PC,Cascadia,9685,45,10133,94,199,9934,10227,770.2878102,772.2878102,TRUE,10106,180,229,10286,9877