SB_DEPTH_cm,hiresMS
1,
2,23.8
3,31.2
4,19.1
5,30.4
6,60.1
7,47.5
8,49
9,46.9
10,52.1
11,54.5
12,64.8
13,49
14,49.7
15,48.5
16,50.5
17,43
18,50.7
19,47.8
20,48.5
21,47
22,50.1
23,52.7
24,50.4
25,47
26,50.7
27,50.9
28,45.5
29,44.4
30,47.5
31,46.9
32,47
33,46.5
34,46.5
35,46.5
36,41.9
37,40.1
38,45.2
39,36
40,47.9
41,42.7
42,56.1
43,78
44,68.4
45,77.6
46,86.6
47,12.9
48,1.3
49,7.8
50,27.3
51,29.8
52,37.7
53,41.5
54,37
55,35.9
56,30.1
57,33.5
58,37.1
59,38.8
60,36.9
61,35.5
62,35.3
63,30.2
64,26.7
65,25.4
66,23.7
67,20.6
68,25.5
69,31
70,31.9
71,31
72,33.7
73,30.1
74,23.3
75,19.5
76,16.6
77,
79,
80,24.1
81,30.5
82,31
83,35.2
84,39.2
85,43.8
86,45.2
87,45.1
88,43.4
89,43.5
90,42.6
91,39.3
92,36.9
93,35.7
94,39.3
95,39.5
96,38.7
97,50.7
98,54.3
99,88
100,151.1
101,150.6
102,79.6
103,68
104,81.7
105,185.8
106,103.1
107,58.5
108,55.5
109,106.6
110,144.6
111,43.2
112,40
113,42.6
114,45.6
115,43.3
116,43
117,50.4
118,52.8
119,51.2
120,52.2
121,50
122,52.2
123,52
124,52.7
125,36.2
126,34.9
127,34.8
128,37
129,35.1
130,35.6
131,37.2
132,37.5
133,38.3
134,40.7
135,42
136,41.7
137,41.2
138,41.3
139,42
140,42
141,43.7
142,47.8
143,46
144,44.6
145,45.6
146,45.2
147,45.5
148,44.1
149,35.5
150,42.2
151,41.1
152,40.3
153,42.2
154,39.2
155,26.8
156,26.7
157,26.6
158,28
159,29.3
160,30.2
161,33.9
162,37
163,44.7
164,45.5
165,45.3
166,48.4
167,51.7
168,114.2
169,108.3
170,49.3
171,22.3
172,
173,
174,
175,
176,22
177,24
178,28.4
179,40.1
180,52.6
181,64.3
182,68.7
183,79.1
184,72
185,74
186,77
187,78.1
188,83.5
189,82.9
190,75.1
191,68.9
192,69.2
193,66.1
194,58.3
195,56.8
196,59.3
197,66.1
198,66.7
199,71.2
200,72.4
201,68.6
202,59.2
203,55.7
204,62.6
205,46.6
206,46
207,48.5
208,51.9
209,53.7
210,55
211,56.6
212,60.1
213,62.3
214,65.4
215,59.4
216,62.7
217,46.7
218,46.6
219,48.8
220,52
221,54.2
222,57.4
223,48.7
224,53.5
225,49.9
226,49
227,57.6
228,14.6
230,15.8
231,53.4
232,51.4
233,50.3
234,41.5
235,45
236,39.2
237,87.7
238,80.2
239,35.4
240,
241,
242,
243,
244,
245,
246,20.7
247,32.1
248,38.2
249,46.8
250,55.7
251,63.7
252,57.4
253,65.9
254,75.3
255,79.8
256,63.6
257,76.9
258,82.6
259,62
260,68.4
261,67.1
262,69.3
263,67.1
264,65.1
265,67.1
266,63
267,63.5
268,63.3
269,65.4
270,69.6
271,68.5
272,68
273,63.3
274,62.9
275,56.1
276,51.5
277,51.8
278,47.8
279,52.1
280,43.3
281,42.7
282,39.7
283,39.3
284,45.5
285,45.3
286,44.1
287,43.5
288,44.8
289,42.2
290,42
291,42.2
292,41.1
293,40.7
294,42.3
295,39.2
296,36.5
297,36.6
298,35.2
299,41.9
300,41.5
301,39.1
302,45.9
303,85.1
304,92.2
305,67.3
306,60.4
307,125.9
308,117.9
309,
310,
311,
312,36
313,40
314,44.2
315,49.5
316,53.6
317,52.5
318,51.7
319,49.5
320,47.8
321,46.5
322,46.3
323,43.8
324,42.4
325,41.6
326,43
327,43.9
328,42.9
329,43.6
330,43.7
331,43.8
332,43.2
333,43.9
334,43.9
335,42.6
336,40.4
337,41.2
338,41.7
339,42.4
340,42.4
341,43.9
342,45.1
343,44.7
344,46.4
345,48.1
346,48.3
347,47.3
348,47.4
349,48
350,50.2
351,49.6
352,51.1
353,50.5
354,48.8
355,44.6
356,41.3
357,43.5
358,40.5
359,35.8
360,36.8
361,45.5
362,22.7
363,21.6
364,24.7
365,33.3
366,49.3
367,33.9
368,46.2
369,44.3
370,71.8
371,82
372,186.6
373,78.5
374,17.2
375,32.6
376,119.4
377,315.1
378,51.2
379,
381,
382,
383,
384,42.3
385,51.6
386,58.8
387,63.2
388,60.6
389,54.6
390,52.5
391,48.8
392,43.6
393,38.5
394,36.5
395,34.6
396,42.1
397,51.2
398,55.9
399,54.5
400,51.7
401,46.6
402,42
403,38.8
404,35.5
405,37.7
406,38.8
407,37.1
408,36.6
409,36.1
410,35.1
411,35.1
412,33.3
413,33.2
414,32.6
415,28.4
416,37.8
417,50.6
418,49.8
419,46.6
420,51.8
421,43.3
422,42.3
423,46.3
424,86.8
425,124.1
426,223.9
427,46.3
428,
429,
430,
431,36.2
432,40.6
433,40.4
434,36.5
435,42.2
436,43.3
437,43.6
438,42.1
439,42.1
440,44.1
441,50
442,53.8
443,57.4
444,54.4
445,49.1
446,46.3
447,44.2
448,43.4
449,40.8
450,37.7
451,34.8
452,42.8
453,36.7
454,39.5
455,35.9
456,37.2
457,40.9
458,44.5
459,45.4
460,44.7
461,43
462,45.7
463,51.4
464,54.3
465,49.3
466,52.3
467,63.1
468,56.1
469,55.9
470,244.1
471,338.4
472,180.1
473,201.3
474,346.8
475,270.1
476,51.7
477,
478,
479,
480,39.5
481,47
482,47
483,51.6
484,46.4
485,43.8
486,44.3
487,45.5
488,45.4
489,46.5
490,49.7
491,52.1
492,53.3
493,51.8
494,55.8
495,53.9
496,49
497,50.2
498,53.4
499,58
500,61.6
501,60.7
502,62.5
503,59.2
504,57
505,57.8
506,30.8
507,15.5
508,13.9
509,13.3
510,14.1
511,26.5
512,29.1
513,32.4
514,35.4
515,39.6
516,43.4
517,49.6
518,49.4
519,58.1
520,60.2
521,63.3
522,60.1
523,66.4
524,67.8
525,63.7
526,51.3
527,46
528,37.3
529,18.7
531,
532,
533,20.7
534,24.5
535,23.9
536,25.6
537,24.7
538,24.4
539,22.4
540,19.8
541,18.1
542,24.5
543,22.6
544,22.8
545,19.1
546,16.2
547,12.9
548,11.1
549,13.3
550,13.9
551,25.6
552,43.7
553,52.9
554,60
555,65.8
556,75.2
557,77.3
558,89
559,92.4
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,39.8
589,40.6
590,43.8
591,49.1
592,51.8
593,51.8
594,50.6
595,49.4
596,45.9
597,44.9
598,43.4
599,41.8
600,41.4
601,40.3
602,40.3
603,41.3
604,40.5
605,39.9
606,45.2
607,52.7
608,58
609,61.2
610,64.1
611,78.9
612,187.5
613,152.1
614,106.4
615,81.4
616,
617,
618,
619,41.3
620,62.6
621,67.6
622,70.7
623,58.9
624,57.8
625,58.3
626,54.5
627,61.7
628,61.1
629,61.7
630,59.3
631,59
632,61.2
633,72.9
634,32.3
635,
636,
637,
638,
639,
640,36.8
641,45.4
642,57
643,45.8
644,50.6
645,44.6
647,
648,
649,
650,32.9
651,42.5
652,48.9
653,60.4
654,62.9
655,83.3
656,193.1
657,171.5
658,213.9
659,559.9
660,388.1
661,229
662,
663,
664,
665,
666,56
667,55.6
668,54.9
669,52.6
670,54.8
671,55.5
672,56
673,54.5
674,54
675,54.8
676,55.5
677,52.2
678,55.4
679,56.3
680,61.2
681,70.2
682,114.2
683,322.4
684,95.5
685,
686,
687,
688,35.3
689,43.9
690,48.8
691,55.2
692,60.2
693,66
694,73
695,75
696,74.1
697,75
698,75.9
699,80.5
700,79.1
701,82.9
702,81.7
703,96
704,183.5
705,202.4
706,
707,
708,
709,
710,
711,
712,
713,
714,
715,
716,
717,
718,
719,
720,30
721,34.1
722,39.1
723,45.1
724,56.8
725,39.1
726,50.1
727,50.2
728,66.8
729,71.9
730,59.5
731,72.9
732,72.3
733,82.6
734,135.5
735,187.4
736,149.2
737,225.4
738,
739,
740,
741,68.2
742,36.8
743,
744,
745,
746,
747,
748,
749,
750,
751,
752,
753,
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,
764,
765,
766,
767,
768,
769,
770,
771,
772,143.1
773,102.7
774,86.5
775,66
776,124.7
777,161.1
778,127.4
779,
780,
781,
782,
783,
784,
785,
786,
787,
788,
789,
790,
791,
792,
793,
794,
795,