picked_depths_cm,category
2.909834926,1
48.13231559,1
110.7799723,1
170.1085478,1
243.9581034,1
309.5099561,1
377.5511197,1
427.7522221,1
475.4640136,1
510.9739063,1
562.5898938,1
616.7696179,1
638.5138751,1
661.332558,1
683.3214706,1
717.3420524,1
739.7458502,1
768.7878102,1
46.47277502,2
109.1204317,2
167.619237,2
238.9794817,2
307.4355304,2
374.6469237,2
425.2629112,2
469.6556216,2
507.4101697,2
612.7909962,2
636.0245642,2
655.524166,2
681.2470449,2
738.0863096,2
39.00484243,3
96.25899226,3
163.8852707,3
235.2455154,3
302.0420235,3
362.2003694,3
416.5503232,3
465.091885,3
505.335744,3
554.7070761,3
609.471915,3
631.8757128,3
652.2050848,3
679.1726192,3
701.9913021,3
734.3523433,3
7.058686363,4
55.18536303,4
119.4925603,4
179.6509061,4
252.2558063,4
317.3927739,4
380.8702009,4
436.4648101,4
483.3468313,4
521.1013794,4
621.0886991,4
642.6627265,4
667.5558352,4
688.3000923,4
721.0760187,4
745.139357,4
778.7450537,4